Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-02,90.897,91.063,90.042,90.592,173865
2017-01-03,91.899,94.228,91.477,92.39,1085771
2017-01-04,92.931,94.455,92.292,94.356,1144997
2017-01-05,94.356,95.103,93.57,94.169,865430
2017-01-09,93.835,94.651,93.57,94.356,494918
2017-01-10,95.241,99.122,95.241,98.485,1627183
2017-01-11,99.271,104.19,99.122,104.04,2578736
2017-01-12,104.48,107.43,104.33,106.25,3210345
2017-01-13,106.35,107.92,104.92,107.13,1306695
2017-01-16,107.13,109.83,107.13,108.12,1209391
2017-01-17,106.4,108.61,105.27,107.87,1130337
2017-01-18,107.62,112.79,107.13,111.41,2000535
2017-01-19,111.9,112.54,109.4,110.77,1210703
2017-01-20,110.08,111.06,109.79,111.01,873142
2017-01-23,111.56,112.49,110.96,111.06,543125
2017-01-24,111.26,115.98,111.16,115.58,1766613
2017-01-25,116.96,120.55,116.96,120.55,2157226
2017-01-26,121.38,123.25,119.32,119.96,1533762
2017-01-27,118.92,123.45,111.16,122.86,1820771
2017-01-30,122.86,124.33,120.2,120.2,1128712
2017-01-31,120.2,123.3,119.02,121.78,1289865
2017-02-01,123.3,126.55,123.3,124.58,1144952
2017-02-02,124.82,124.82,122.03,123.35,736024
2017-02-03,121.78,122.71,120.7,121.98,944994
2017-02-06,122.08,124.14,121.53,123.79,582824
2017-02-07,122.66,123.5,121.68,122.56,1052997
2017-02-08,124.33,124.63,121.88,121.88,1179197
2017-02-09,122.61,123.21,121.09,121.73,1091889
2017-02-10,122.96,125.22,121.48,124.68,1578761
2017-02-13,128.76,128.95,126.84,128.71,1099091
2017-02-14,128.76,129.25,126.79,126.79,1165484
2017-02-15,124.53,126.74,123.45,126.74,1060241
2017-02-16,126.55,127.53,124.97,126.69,793376
2017-02-17,126.3,126.59,125.07,125.61,874599
2017-02-20,126.45,128.17,126.4,128.17,647065
2017-02-21,127.63,133.23,127.53,133.18,1310519
2017-02-22,132.69,133.67,130.18,131.26,1039842
2017-02-23,130.53,133.42,129.74,130.72,1091918
2017-02-24,130.82,130.87,125.37,128.27,2141883
2017-02-27,128.27,130.23,126.64,128.51,682424
2017-02-28,127.92,128.27,125.91,126.79,909910
2017-03-01,129.3,130.13,127.87,129.25,846902
2017-03-02,129.69,130.03,126.89,127.97,748059
2017-03-03,126.4,126.64,124.43,125.42,840433
2017-03-06,124.82,125.22,122.17,122.17,719185
2017-03-07,121.88,123.25,116.91,116.91,1864512
2017-03-08,116.96,120.5,116.96,118.44,791189
2017-03-09,116.48,117.21,113.57,115.39,1335520
2017-03-10,116.18,118.49,115.98,115.98,807238
2017-03-13,118.74,120.6,118.44,120.45,989756
2017-03-14,121.43,122.56,118.54,122.12,1049198
2017-03-15,122.27,124.38,121.19,121.33,841832
2017-03-16,124.82,125.91,123.94,125.71,852334
2017-03-17,124.82,127.23,123.64,124.82,1760523
2017-03-20,123.84,124.78,121.68,123.45,773958
2017-03-21,121.98,124.24,120.3,120.9,1063642
2017-03-22,118.92,120.99,117.16,120.65,836788
2017-03-23,121.83,122.37,118.34,119.32,932882
2017-03-24,119.91,120.99,117.74,117.94,486747
2017-03-27,115.98,116.61,114.35,115.25,870006
2017-03-28,117.11,118.49,116.03,116.96,457447
2017-03-29,119.12,120.3,114.8,116.48,1216434
2017-03-30,117.16,117.36,113.62,117.31,690076
2017-03-31,116.81,116.81,113.82,113.82,802622
